STATE/UT,YEAR,CRIME HEAD,Grand Total
Andhra Pradesh,2008,Criminal Breach Of Trust,10
Andhra Pradesh,2008,Cheating,116
Andhra Pradesh,2008,Counter Feiting,39
Andhra Pradesh,2008,Dowry Deaths,191
Andhra Pradesh,2008,Molestation,150
Andhra Pradesh,2008,Eve-Teasing,69
Andhra Pradesh,2008,Cruelty By Husband Or Relative Of Husband,344
Andhra Pradesh,2008,Other Ipc Crimes,567
Andhra Pradesh,2009,Murder,1053
Andhra Pradesh,2009,Attempt To Commit Murder,348
Andhra Pradesh,2009,C.H. Not Amounting To Murder,167
Andhra Pradesh,2009,Rape,263
Andhra Pradesh,2009,Kidnapping And Abduction,222
Andhra Pradesh,2009,Dacoity,325
Andhra Pradesh,2009,Prep. And Assembly For Dacoity,28
Andhra Pradesh,2009,Robbery,117
Andhra Pradesh,2009,Burglary,124
Andhra Pradesh,2009,Thefts,1885
Andhra Pradesh,2009,Extortion,43
Andhra Pradesh,2009,Riots,34
Andhra Pradesh,2009,Arson,66
Andhra Pradesh,2009,Criminal Breach Of Trust,27
Andhra Pradesh,2009,Cheating,160
Andhra Pradesh,2009,Counter Feiting,23
Andhra Pradesh,2009,Dowry Deaths,178
Andhra Pradesh,2009,Molestation,109
Andhra Pradesh,2009,Eve-Teasing,47
Andhra Pradesh,2009,Cruelty By Husband Or Relative Of Husband,495
Andhra Pradesh,2009,Other Ipc Crimes,727
Andhra Pradesh,2010,Murder,1021
Andhra Pradesh,2010,Attempt To Commit Murder,364
Andhra Pradesh,2010,C.H. Not Amounting To Murder,121
Andhra Pradesh,2010,Rape,292
Andhra Pradesh,2010,Kidnapping And Abduction,226
Andhra Pradesh,2010,Dacoity,338
Andhra Pradesh,2010,Prep. And Assembly For Dacoity,41
Andhra Pradesh,2010,Robbery,164
Andhra Pradesh,2010,Burglary,227
Andhra Pradesh,2010,Thefts,1566
Andhra Pradesh,2010,Extortion,64
Andhra Pradesh,2010,Riots,50
Andhra Pradesh,2010,Arson,21
Andhra Pradesh,2010,Criminal Breach Of Trust,39
Andhra Pradesh,2010,Cheating,150
Andhra Pradesh,2010,Counter Feiting,34
Andhra Pradesh,2010,Dowry Deaths,150
Andhra Pradesh,2010,Molestation,109
Andhra Pradesh,2010,Eve-Teasing,35
Andhra Pradesh,2010,Cruelty By Husband Or Relative Of Husband,389
Andhra Pradesh,2010,Other Ipc Crimes,805
Andhra Pradesh,2011,Murder,1236
Andhra Pradesh,2011,Attempt To Commit Murder,438
Andhra Pradesh,2011,C.H. Not Amounting To Murder,151
Andhra Pradesh,2011,Rape,271
Andhra Pradesh,2011,Kidnapping And Abduction,280
Andhra Pradesh,2011,Dacoity,272
Andhra Pradesh,2011,Prep. And Assembly For Dacoity,9
Andhra Pradesh,2011,Robbery,257
Andhra Pradesh,2011,Burglary,197
Andhra Pradesh,2011,Thefts,2210
Andhra Pradesh,2011,Extortion,94
Andhra Pradesh,2011,Riots,16
Andhra Pradesh,2011,Arson,17
Andhra Pradesh,2011,Criminal Breach Of Trust,15
Andhra Pradesh,2011,Cheating,267
Andhra Pradesh,2011,Counter Feiting,37
Andhra Pradesh,2011,Dowry Deaths,196
Andhra Pradesh,2011,Molestation,111
Andhra Pradesh,2011,Eve-Teasing,45
Andhra Pradesh,2011,Cruelty By Husband Or Relative Of Husband,394
Andhra Pradesh,2011,Other Ipc Crimes,798
Andhra Pradesh,2012,Murder,1100
Andhra Pradesh,2012,Attempt To Commit Murder,464
Andhra Pradesh,2012,C.H. Not Amounting To Murder,165
Andhra Pradesh,2012,Rape,308
Andhra Pradesh,2012,Kidnapping And Abduction,276
Andhra Pradesh,2012,Dacoity,217
Andhra Pradesh,2012,Prep. And Assembly For Dacoity,16
Andhra Pradesh,2012,Robbery,259
Andhra Pradesh,2012,Burglary,221
Andhra Pradesh,2012,Thefts,1939
Andhra Pradesh,2012,Extortion,43
Andhra Pradesh,2012,Riots,29
Andhra Pradesh,2012,Arson,13
Andhra Pradesh,2012,Criminal Breach Of Trust,13
Andhra Pradesh,2012,Cheating,305
Andhra Pradesh,2012,Counter Feiting,52
Andhra Pradesh,2012,Dowry Deaths,228
Andhra Pradesh,2012,Molestation,137
Andhra Pradesh,2012,Eve-Teasing,46
Andhra Pradesh,2012,Cruelty By Husband Or Relative Of Husband,393
Andhra Pradesh,2012,Other Ipc Crimes,597
Arunachal Pradesh,2009,Murder,9
Arunachal Pradesh,2009,Attempt To Commit Murder,0
Arunachal Pradesh,2009,C.H. Not Amounting To Murder,2
Arunachal Pradesh,2009,Rape,0
Arunachal Pradesh,2009,Kidnapping And Abduction,6
Arunachal Pradesh,2009,Dacoity,0
Arunachal Pradesh,2009,Prep. And Assembly For Dacoity,0
Arunachal Pradesh,2009,Robbery,1
Arunachal Pradesh,2009,Burglary,3
Arunachal Pradesh,2009,Thefts,9
Arunachal Pradesh,2009,Extortion,5
Arunachal Pradesh,2009,Riots,0
Arunachal Pradesh,2009,Arson,0
Arunachal Pradesh,2009,Criminal Breach Of Trust,1
Arunachal Pradesh,2009,Cheating,0
Arunachal Pradesh,2009,Counter Feiting,0
Arunachal Pradesh,2009,Dowry Deaths,0
Arunachal Pradesh,2009,Molestation,0
Arunachal Pradesh,2009,Eve-Teasing,0
Arunachal Pradesh,2009,Cruelty By Husband Or Relative Of Husband,0
Arunachal Pradesh,2009,Other Ipc Crimes,17
Arunachal Pradesh,2010,Murder,7
Arunachal Pradesh,2010,Attempt To Commit Murder,2
Arunachal Pradesh,2010,C.H. Not Amounting To Murder,0
Arunachal Pradesh,2010,Rape,1
Arunachal Pradesh,2010,Kidnapping And Abduction,1
Arunachal Pradesh,2010,Dacoity,0
Arunachal Pradesh,2010,Prep. And Assembly For Dacoity,0
Arunachal Pradesh,2010,Robbery,6
Arunachal Pradesh,2010,Burglary,3
Arunachal Pradesh,2010,Thefts,15
Arunachal Pradesh,2010,Extortion,7
Arunachal Pradesh,2010,Riots,0
Arunachal Pradesh,2010,Arson,0
Arunachal Pradesh,2010,Criminal Breach Of Trust,0
Arunachal Pradesh,2010,Cheating,0
Arunachal Pradesh,2010,Counter Feiting,0
Arunachal Pradesh,2010,Dowry Deaths,0
Arunachal Pradesh,2010,Molestation,0
Arunachal Pradesh,2010,Eve-Teasing,0
Arunachal Pradesh,2010,Cruelty By Husband Or Relative Of Husband,0
Arunachal Pradesh,2010,Other Ipc Crimes,9
Arunachal Pradesh,2011,Murder,11
Arunachal Pradesh,2011,Attempt To Commit Murder,3
Arunachal Pradesh,2011,C.H. Not Amounting To Murder,2
Arunachal Pradesh,2011,Rape,4
Arunachal Pradesh,2011,Kidnapping And Abduction,2
Arunachal Pradesh,2011,Dacoity,0
Arunachal Pradesh,2011,Prep. And Assembly For Dacoity,0
Arunachal Pradesh,2011,Robbery,4
Arunachal Pradesh,2011,Burglary,1
Arunachal Pradesh,2011,Thefts,10
Arunachal Pradesh,2011,Extortion,1
Arunachal Pradesh,2011,Riots,0
Arunachal Pradesh,2011,Arson,0
Arunachal Pradesh,2011,Criminal Breach Of Trust,0
Arunachal Pradesh,2011,Cheating,2
Arunachal Pradesh,2011,Counter Feiting,0
Arunachal Pradesh,2011,Dowry Deaths,0
Arunachal Pradesh,2011,Molestation,0
Arunachal Pradesh,2011,Eve-Teasing,0
Arunachal Pradesh,2011,Cruelty By Husband Or Relative Of Husband,0
Arunachal Pradesh,2011,Other Ipc Crimes,4
Arunachal Pradesh,2012,Murder,12
Arunachal Pradesh,2012,Attempt To Commit Murder,5
Arunachal Pradesh,2012,C.H. Not Amounting To Murder,0
Arunachal Pradesh,2012,Rape,1
Arunachal Pradesh,2012,Kidnapping And Abduction,3
Arunachal Pradesh,2012,Dacoity,0
Arunachal Pradesh,2012,Prep. And Assembly For Dacoity,0
Arunachal Pradesh,2012,Robbery,9
Arunachal Pradesh,2012,Burglary,4
Arunachal Pradesh,2012,Thefts,21
Arunachal Pradesh,2012,Extortion,2
Arunachal Pradesh,2012,Riots,0
Arunachal Pradesh,2012,Arson,0
Arunachal Pradesh,2012,Criminal Breach Of Trust,0
Arunachal Pradesh,2012,Cheating,5
Arunachal Pradesh,2012,Counter Feiting,0
Arunachal Pradesh,2012,Dowry Deaths,0
Arunachal Pradesh,2012,Molestation,0
Arunachal Pradesh,2012,Eve-Teasing,0
