state_name,year,detail,male,female,total
Goa,2006,Re-arrested escapees,0,0,0
Goa,2007,Escapees from Inside Prison,14,0,14
Goa,2007,Escapees from Outside Prison,0,0,0
Goa,2007,Escapees from Police Custody,0,0,0
Goa,2007,Re-arrested escapees,0,0,0
Goa,2008,Escapees from Inside Prison,1,0,1
Goa,2008,Escapees from Outside Prison,0,0,0
Goa,2008,Escapees from Police Custody,0,0,0
Goa,2008,Re-arrested escapees,0,0,0
Goa,2009,Escapees from Inside Prison,0,0,0
Goa,2009,Escapees from Outside Prison,0,0,0
Goa,2009,Escapees from Police Custody,0,0,0
Goa,2009,Re-arrested escapees,0,0,0
Goa,2010,Escapees from Inside Prison,3,0,3
Goa,2010,Escapees from Outside Prison,0,0,0
Goa,2010,Escapees from Police Custody,4,0,4
Goa,2010,Re-arrested escapees,2,0,2
Goa,2011,Escapees from Inside Prison,0,0,0
Goa,2011,Escapees from Outside Prison,0,0,0
Goa,2011,Escapees from Police Custody,3,0,3
Goa,2011,Re-arrested escapees,0,0,0
Goa,2012,Escapees from Inside Prison,0,0,0
Goa,2012,Escapees from Outside Prison,0,0,0
Goa,2012,Escapees from Police Custody,0,0,0
Goa,2012,Re-arrested escapees,1,0,1
Gujarat,2001,Escapees from Inside Prison,8,0,8
Gujarat,2001,Escapees from Outside Prison,4,0,4
Gujarat,2001,Escapees from Police Custody,25,0,25
Gujarat,2001,Re-arrested escapees,4,0,4
Gujarat,2002,Escapees from Inside Prison,1,0,1
Gujarat,2002,Escapees from Outside Prison,0,0,0
Gujarat,2002,Escapees from Police Custody,13,0,13
Gujarat,2002,Re-arrested escapees,0,0,0
Gujarat,2003,Escapees from Inside Prison,3,0,3
Gujarat,2003,Escapees from Outside Prison,1,0,1
Gujarat,2003,Escapees from Police Custody,34,0,34
Gujarat,2003,Re-arrested escapees,0,0,0
Gujarat,2004,Escapees from Inside Prison,0,0,0
Gujarat,2004,Escapees from Outside Prison,9,0,9
Gujarat,2004,Escapees from Police Custody,18,0,18
Gujarat,2004,Re-arrested escapees,4,0,4
Gujarat,2005,Escapees from Inside Prison,3,0,3
Gujarat,2005,Escapees from Outside Prison,13,0,13
Gujarat,2005,Escapees from Police Custody,16,0,16
Gujarat,2005,Re-arrested escapees,7,0,7
Gujarat,2006,Escapees from Inside Prison,4,0,4
Gujarat,2006,Escapees from Outside Prison,5,0,5
Gujarat,2006,Escapees from Police Custody,19,1,20
Gujarat,2006,Re-arrested escapees,5,0,5
Gujarat,2007,Escapees from Inside Prison,1,0,1
Gujarat,2007,Escapees from Outside Prison,5,0,5
Gujarat,2007,Escapees from Police Custody,17,0,17
Gujarat,2007,Re-arrested escapees,7,0,7
Gujarat,2008,Escapees from Inside Prison,0,0,0
Gujarat,2008,Escapees from Outside Prison,23,1,24
Gujarat,2008,Escapees from Police Custody,27,1,28
Gujarat,2008,Re-arrested escapees,40,0,40
Gujarat,2009,Escapees from Inside Prison,1,0,1
Gujarat,2009,Escapees from Outside Prison,0,0,0
Gujarat,2009,Escapees from Police Custody,35,1,36
Gujarat,2009,Re-arrested escapees,26,1,27
Gujarat,2010,Escapees from Inside Prison,0,0,0
Gujarat,2010,Escapees from Outside Prison,0,0,0
Gujarat,2010,Escapees from Police Custody,43,1,44
Gujarat,2010,Re-arrested escapees,30,0,30
Gujarat,2011,Escapees from Inside Prison,7,0,7
Gujarat,2011,Escapees from Outside Prison,2,0,2
Gujarat,2011,Escapees from Police Custody,16,0,16
Gujarat,2011,Re-arrested escapees,6,0,6
Gujarat,2012,Escapees from Inside Prison,1,0,1
Gujarat,2012,Escapees from Outside Prison,10,0,10
Gujarat,2012,Escapees from Police Custody,17,0,17
Gujarat,2012,Re-arrested escapees,7,0,7
Haryana,2001,Escapees from Inside Prison,0,0,0
