state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above,Total
Gujarat,1,2010,Male,"10-13 Plus years",0,347,304,121,772
Gujarat,1,2010,Male,"7-9 Plus years",0,303,224,36,563
Gujarat,1,2010,Male,"5-6 Plus years",0,179,138,38,355
Gujarat,1,2010,Male,"2-4 Plus years",0,126,117,18,261
Gujarat,1,2010,Male,"1 Less than 2 years",0,103,68,13,184
Gujarat,1,2010,Male,"6 months less than 1 Yr.",0,49,47,6,102
Gujarat,1,2010,Male,"3 - 6 months",0,31,50,8,89
Gujarat,1,2010,Male,"Less than 3 months",0,14,28,15,57
Gujarat,1,2011,Male,"Capital Punishment",0,3,16,1,20
Gujarat,1,2011,Male,"Life Imprisonment",0,670,932,137,1739
Gujarat,1,2011,Male,"10-13 Plus years",0,368,294,109,771
Gujarat,1,2011,Male,"7-9 Plus years",0,389,258,44,691
Gujarat,1,2011,Male,"5-6 Plus years",0,170,186,16,372
Gujarat,1,2011,Male,"2-4 Plus years",0,77,128,11,216
Gujarat,1,2011,Male,"1 Less than 2 years",0,80,98,20,198
Gujarat,1,2011,Male,"6 months less than 1 Yr.",0,68,107,20,195
Gujarat,1,2011,Male,"3 - 6 months",0,45,60,4,109
Gujarat,1,2011,Male,"Less than 3 months",0,3,12,2,17
Gujarat,1,2012,Male,"Capital Punishment",0,0,17,2,19
Gujarat,1,2012,Male,"Life Imprisonment",0,384,1120,334,1838
Gujarat,1,2012,Male,"10-13 Plus years",0,210,316,144,670
Gujarat,1,2012,Male,"7-9 Plus years",0,232,199,67,498
Gujarat,1,2012,Male,"5-6 Plus years",0,142,185,24,351
Gujarat,1,2012,Male,"2-4 Plus years",0,94,181,21,296
Gujarat,1,2012,Male,"1 Less than 2 years",0,63,112,10,185
Gujarat,1,2012,Male,"6 months less than 1 Yr.",0,100,138,16,254
Gujarat,1,2012,Male,"3 - 6 months",0,55,61,8,124
Gujarat,1,2012,Male,"Less than 3 months",0,9,19,6,34
Haryana,1,2001,Male,"Capital Punishment",0,0,6,1,7
Haryana,1,2001,Male,"Life Imprisonment",0,647,773,320,1740
Haryana,1,2001,Male,"10-13 Plus years",0,251,264,56,571
Haryana,1,2001,Male,"7-9 Plus years",0,90,87,24,201
Haryana,1,2001,Male,"5-6 Plus years",0,41,38,12,91
Haryana,1,2001,Male,"2-4 Plus years",0,54,47,11,112
Haryana,1,2001,Male,"1 Less than 2 years",0,36,38,9,83
Haryana,1,2001,Male,"6 months less than 1 Yr.",0,27,35,8,70
